name,affiliation
Louis Lagendijk,ERICSSON AB
Louis Mamakos,HYPERCHIP
Louis Touton,ICANN
Louis-Nicolas Hamer,NORTEL NETWORKS LIMITED
Louise Lamont,INDUSTRIE CANADA
Louise Spergel,LUCENT TECHNOLOGIES
Lousewies Van Der Laan,ICANN
Lowell Gilbert,EPILOGUE TECHNOLOGY CORPORATION
Lubomir Citkusen,TELCORDIA TECHNOLOGIES
Lubomir Citkusev,TELCORDIA TECHNOLOGIES
Luc Boulianne,MCGILL UNIVERSITY
Luc Daans,ALCATEL
Luc De Ghein,CISCO SYSTEMS INC
Luc Nguyen,ZVOLVE
Luc Pariseau,BAY NETWORKS
Luc Prieur,ERICSSON AB
Luc Revardel,CISCO SYSTEMS INC
Luca Barbetta,CSELT CENTRO STUDI E LABORATORI TELECOMUNICATIOZIONI S.P.A
Luca Delgrossi,ANDERSEN CONSULTING
Luca Fantolino,TIM
Luca Lombardi,ERICSSON AB
Luca Patrone,MARCONI COMMUNICATIONS
Lucas Jenss,HAMBURG UNIVERSITY
Lucia Li,LUCENT TECHNOLOGIES
Luciano Dalle Ore,NEOCON ASSOCIATES INC.
Ludovic Bellier,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE
Ludovico Prattico,NORTEL NETWORKS LIMITED
Ludwig Ortmann,FREIE UNIVERSITAET BERLIN
Luigi Lancieri,ORANGE SA
Luis Balbinot,COMMCORP TELECOM
Luis Barriga,ERICSSON AB
Luis Constanzo,DAVITEL
Luis Cordeiro,UNIVERSITY OF COIMBRA
Luis Leon,MOTOROLA MOBILITY
Luis Lopez,UNIVERSIDAD REY JUAN CARLOS
Luis Maqueda,KTH - ROYAL INSTITUTE OF TECHNOLOGY
Luis Marrone,LINTI-UNLP
Luis Miguel Diaz Vizcaino,ALCATEL-LUCENT S.A
Luis Palacios,CISCO SYSTEMS INC
Luis Uribarri,COMCAST
Luisa Nevers,BBN CORPORATION
Luiz Braga Filho,MACKENZIE UNIVERSITY
Lujia Pan,HUAWEI TECHNOLOGIES
Lukas Pustina,UNIVERSITY OF BONN
Luke Klein-Berndt,U.S. DEPARTMENT OF COMMERCE
Luke Lucas,CONTROL DATA CORP
Luke Mewburn,NETWORK APPLIANCE
Luke Tucker,LUCENT TECHNOLOGIES
Luna Petrova,TALARIAN
Lusheng Ji,UNIVERSITY OF MARYLAND
Luther Martin,VOLTAGE SECURITY
Lutz Brunke,DEUTSCHES KLIMARECHENZENTRUM
Lv Shuanghuan,JINAN UNIVERSITY
Lynda Foley,ALCATEL-LUCENT S.A
Lynn Brough,"NOVELL, INC."
Lynn Cormier,CABLETRON SYSTEMS INC
Lynn Kubinec,TEXAS INSTRUMENTS INC
Lynn Ronan,SPRINT CORPORATION
Lynne Presley,TELCORDIA TECHNOLOGIES
Lynne Sinclair,LUCENT TECHNOLOGIES
M Pamidi,"SUN MICROSYSTEMS, INC."
M Ranganathan,U.S. DEPARTMENT OF COMMERCE
Ma Yuzhi,HUAWEI TECHNOLOGIES
Maciej Konstantynowicz,JUNIPER NETWORKS
Maclen Marvit,NARROWLINE
Macy Torrey,SPRINT CORPORATION
Madan Appiah,MICROSOFT
Madelyn Badger,TRUSTED INFORMATION SYSTEMS
Madhavi Chandra,CISCO SYSTEMS INC
Madhavi Subbarao,CISCO SYSTEMS INC
Madhu Sudan,SRI INTERNATIONAL
Madhusudhan Nathan,TELCORDIA TECHNOLOGIES
Magali Crassous,ORANGE SA
Magda El Zarki,UNIVERSITY OF PENNSYLVANIA
Magdolna Gerendai,NOKIA
Maged Girgis,AFILIAS
Magnus Ahltorp,KTH - ROYAL INSTITUTE OF TECHNOLOGY
Magnus Danielson,NET INSIGHT
Magnus Fisch,TELIA AB
Magnus Risberg,ORANGE SA
Magnus Stallknecht,IBM
Magnus Stromdal,UNINETT
Mahadev Somasundaram,CISCO SYSTEMS INC
Mahadevan Iyer,ALCATEL
Mahdi Smaoui,NORTEL NETWORKS LIMITED
Maher Ali,ALCATEL
Mahesh Shirgaonkar,TORRENT NETWORKING
Mahfuzur Rahman,"SAMSUNG ELECTRONICS CO, LTD"
Mahkoum Hicham,CONCORDIA UNIVERSITY
Mahmoud Watfa,INTERDIGITAL COMMUNICATIONS
Mahru Sabaii,SPRINT CORPORATION
Mai Lee,TRW
Maitreya Mukhopadhyay,NORTEL NETWORKS LIMITED
Makeri Ajiji,INTERNATIONAL CENTRE FOR YOUTH DEVELOPMENT ON ICT
Makiko Yoshida,NEC CORPORATION
Makis Kasapidis,PANASONIC CORPORATION
Makoto Eguchi,NTT
Makoto Hara,FUJI PHOTO FILM CO LTD
Makoto Iguchi,NTT
Makoto Ishida,ANKHTECH INC.
Makoto Kainuma,NTT
Makoto Kawamichi,NEC CORPORATION
Makoto Kayashima,HITACHI LTD
Makoto Kurihara,NTT
Makoto Niimi,YOKOGAWA ELECTRIC CORPORATION
Makoto Ota,NTT
Makoto Otsuka,WASEDA UNIVERSITY
Makoto Saito,NTT
Makoto Sakamoto,FUJITSU LIMITED
Makoto Sengoku,MIKKEI BUSINESS PUBLICATIONS
Makoto Shibutani,NEC CORPORATION
Makoto Tomoeda,NTT
Makoto Yamakita,POWEREDCOM INC
Makoto Yamazaki,TOKYO UNIVERSITY OF SCIENCE
Malcolm Duncan,CESG
Malcolm Hutty,LONDON INTERNET EXCHANGE
Malcolm Wiles,MADGE NETWORKS
Maldwyn Morris,RIPE NCC
Malek Shabou,AFNIC
Malgorzata Rzecka,CCNS S.A.
Malik Khan,MOTOROLA MOBILITY
Malika Djabali,ORANGE SA
Malin Gullstrand,ERICSSON AB
Mallikarjun Chadalapaka,HEWLETT-PACKARD COMPANY
Mallikarjun Tatipamula,MOTOROLA MOBILITY
Malte Schmidt,"DOLBY LABORATORIES, INC"
Mamadou Tahirou Bah,UPMC
Mamoru Higuchi,EVOLIUM JAPAN LIMITED
Mamoru Murakami,NTT
Man Yong Lee,LINUXKOREA
Manabu Adachi,FUJITSU LIMITED
Manabu Isomura,KDDI CORPORATION
Manabu Nakano,YOKOHAMA NATIONAL UNIVERSITY
Manasi Bhutani,INTEL CORPORATION
Manav Mishra,INTEL CORPORATION
Manette Lazear,"MITRE CORPORATION, THE"
Manfred Kloiber,DEUTSCHLANDFUNK
Manfred Sand,UNIVERSITY OF MUENSTER
Manfred Schumann,DEUTSCHE TELEKOM AG
Mangala Kannan,"HUGHES NETWORK SYSTEMS, LLC"
Mangale Kannan,"HUGHES NETWORK SYSTEMS, LLC"
Mangesh Shingane,ALLEGRO NETWORKS
Manickam Sridhar,SITARA NETWORKS INC.
Manikantan Ramadas,OHIO UNIVERSITY
Manikantan Srinivasan,FUTURESOFT
Manish Jani,CISCO SYSTEMS INC
Manish Karir,MERIT NETWORK
Manish Lad,UNIVERSITY COLLEGE LONDON
Manish Patel,BAY NETWORKS
Manish Tiwari,NOKIA
Manish Vora,FORE SYSTEMS
Manjunath Bangalore,CISCO SYSTEMS INC
Manny Leiva,LOCKHEED MARTIN CORPORATION
Manny Pasetes,PREMENOS CORPORATION
Manohar Mahavadi,NEC CORPORATION
Manoj Bhatia,CISCO SYSTEMS INC
Manoj Deshpande,QUALCOMM INC
Manoj Kasichainula,IBM
Manoj Srivastava,NETWORK SOLUTIONS INC.
Manoj Wadekar,INTEL CORPORATION
Manuel Oliveira,UNIVERSITY COLLEGE LONDON
Manuel Paul,DEUTSCHE TELEKOM AG
Maoyu Wang,COMMUNICATION RESEARCH CENTER
Maoz Ovadia,XACCT TECHNOLOGIES INC
Marc Capelle,ORANGE SA
Marc Chalifour,TREIZE INC.
Marc Danai,HEWLETT-PACKARD COMPANY
Marc Desrosiers,NORTEL NETWORKS LIMITED
Marc Fidler,"SANDERS, A LOCKHEED MARTIN COMPANY"
Marc Freynet,IBM
Marc Greis,NOKIA
Marc Hidalgo,CISCO SYSTEMS INC
Marc Horowitz,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
Marc Jacobs,MICROSOFT
Marc Joseph,SILICON GRAPHICS
Marc Lecharpentier,ORANGE SA
Marc Linsner,CISCO SYSTEMS INC
Marc Obbad,NORTEL NETWORKS LIMITED
Marc Parmet,ON TECHNOLOGY CORPORATION
Marc Salomon,CIRCLE-A NETWORKS
Marc Siegel,NASA
Marc Sinykin,ORACLE
Marc Vandenhouse,ALCATEL
Marc Vandenhoute,AGERE SYSTEMS
Marc Vanheyningen,AVENTAIL
Marc White,STARBURST COMMUNICATIONS
Marc Wieland,DEUTSCHE TELEKOM AG
Marc Willekens,NOKIA SIEMENS NETWORKS
Marc Woolward,GOLDMAN SACHS
Marc-Olivier Mehu,NAINO SA
Marcel Graf,IBM
Marcel Schlapfer,STERLING SOFTWARE
Marcel Wagner,SIEMENS AG
Marcel Wiget,NORTEL NETWORKS LIMITED
Marcelo Da Silva,ANATEL
Marcelo Gardini Do Amaral,BRAZILIAN NETWORK INFORMATION CENTER - NIC.BR
Marcelo Mourier,CONNECTWARE
Marcelo Pias,UNIVERSITY COLLEGE LONDON
Marcelo Schmidt,EQUINIX
Marcin Klamra,CCNS S.A.
Marcin Matuszewski,NOKIA
Marcin Spiewak,INTEL CORPORATION
Marco Anisetti,UNIVERSITY OF MILAN
Marco Bernardi,CSELT CENTRO STUDI E LABORATORI TELECOMUNICATIOZIONI S.P.A
Marco Casassa Mont,HEWLETT-PACKARD COMPANY
Marco Hernandez,CREN
Marco Schneider,SBC TECHNOLOGIES
Marco Sosa,INFINERA CORP
Marcos Ares Blanco,"SUN MICROSYSTEMS, INC."
Marcos Sanguinetti,ANTEL URUGUAY
Marcus Brunner,NEC CORPORATION
Marcus Leech,NORTEL NETWORKS LIMITED
Marcus Maranhao,CISCO SYSTEMS INC
Marcus Venmann,SIEMENS AG
Marek Bukowy,RIPE NCC
Margaret Ervin-Willis,LUCENT TECHNOLOGIES
Margaret Isaacs,UNIVERSITY OF GLASGOW
Margaret Johnson,MICROSOFT
Margaret Kosmala,U.S. DEPARTMENT OF DEFENSE
Margarida Correia,JUNIPER NETWORKS
Marguerite Mckee,NORTEL NETWORKS LIMITED
Mari Korkea-Aho,NOKIA
Mari Melander,NOKIA
Mari Shoji,COMMUNICATIONS RESEARCH LABORATORY
Maria Alice Dos Santos,CISCO SYSTEMS INC
Maria Belinchon,ERICSSON AB
Maria Gallagher,LSI LOGIC CORPORATION
Maria Greene,ASCOM
Maria Hagglof,EUROPEAN RADIOCOMM OFFICE
Maria Hall,MINISTRY OF INDUSTRY EMPLOYMENT AND COMMUNICATIONS
Maria Heijne,SURFNET
Maria Papadopouli,COLUMBIA UNIVERSITY
Maria Simoneau,ASCEND COMMUNICATIONS
Maria Vistoli,I.N.F.N.
Mariana Nikolova,KONINKLIJKE PHILIPS ELECTRONICS
Mariana Simons-Nikolova,KONINKLIJKE PHILIPS ELECTRONICS
Marianne Mohali,ORANGE SA
Mariano Okon,CISCO SYSTEMS INC
Marie Humeau,"UK MISSION TO THE UN, GENEVA"
Marie Kim,ETRI - ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE
Marie Normoyle,CISCO SYSTEMS INC
Mariela Rocha,ARIU
Marilia Curado,UNIVERSITY OF COIMBRA
Marilyn Martin,UNIVERSITY OF BRITISH COLUMBIA
Mario Alejandro Aleman Zapata,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS
Mario Aliotta,SIEMENS AG
Mario Bonin,ORACLE
Mario Derango,MOTOROLA MOBILITY
Mario Farina,UNIVERSIDAD DE PALERMO
Mario Fullum,COAST GARDE CANADA
Mario Huterer,ALCATEL
Mario Kind,DEUTSCHE TELEKOM AG
Mario Morelli,TELECOM ITALIA S.P.A
Mario Vecchi,"EXCALIBUR GROUP, TIMEWARNER"
Marion Royal,GSA
Maris Bergmanis,SECURE COMPUTING CORPORATION
Marius Guruian,GANDALF PREMIER
Marius Janulis,GENUITY
Marjan Parsa,XCERT SOFTWARE INC.
Marjo Mercado,HEWLETT-PACKARD COMPANY
Marjorie Krueger,HEWLETT-PACKARD COMPANY
Marjorie Mihalek,LTS
Mark Allen,WILLIAMS
Mark Allyn,BOEING
Mark Amari,HITACHI LTD
Mark Bakke,CISCO SYSTEMS INC
Mark Barrett,BRITISH TELECOMMUNICATIONS PLC
Mark Bearden,LUCENT TECHNOLOGIES
Mark Beckmann,SIEMENS AG
Mark Beyer,TUT SYSTEMS
Mark Blackman,QUALCOMM INC
Mark Boduch,TELLABS
Mark Carlson,"SUN MICROSYSTEMS, INC."
Mark Carson,U.S. DEPARTMENT OF COMMERCE
Mark Crispin,UNIVERSITY OF WASHINGTON
Mark Duchene,VERITAS SOFTWARE CORPORATION
Mark Duffy,SONUS NETWORKS LIMITED
Mark Dugroo,DYNCORP
Mark Eckenwiler,U.S. DEPARTMENT OF JUSTICE
Mark Edblom,QUALCOMM INC
Mark Emery,MOTOROLA MOBILITY
Mark Espe,WRQ INC.
Mark Fedor,"PERFORMANCE SYSTEMS INTERNATIONAL, INC."
Mark Fenkner,COMCAST
Mark Finkelstein,TELCORDIA TECHNOLOGIES
Mark Fishburn,NETCOM
Mark Foster,NEUSTAR INC
Mark Garrett,TELCORDIA TECHNOLOGIES
Mark Garver,ASCEND COMMUNICATIONS
Mark Gertsvolf,NORTEL NETWORKS LIMITED
Mark Gibson,AMDOCS SOFTWARE SYSTEMS LIMITED
Mark Greene,IBM
Mark Gritter,STANFORD UNIVERSITY
Mark Hinckley,"NOVELL, INC."
Mark Hittinger,NETCOM
Mark Hollinger,HEWLETT-PACKARD COMPANY
Mark Hoy,"SUN MICROSYSTEMS, INC."
Mark Ingraham,HITACHI LTD
Mark Jackson,BELLCORE
Mark James,NEC CORPORATION
Mark Johnson,MCNC
Mark Joseph,ATTACHMATE
Mark Karol,LUCENT TECHNOLOGIES
Mark Kayser,MCI COMMUNICATIONS
Mark Kelley,LUCENT TECHNOLOGIES
Mark Kepke,APPLIED INNOVATION
Mark Kim,ASCEND COMMUNICATIONS
Mark Klerer,QUALCOMM INC
Mark Knopper,CISCO SYSTEMS INC
Mark Koch,UNIVERSITY OF BREMEN
Mark Kohler,MENTAT
Mark Krischer,BBN CORPORATION
Mark Lewis,MJL NETWORK SOLUTIONS
Mark Linehan,IBM
Mark Lottor,NETWORK WIZARDS
Mark Maggenti,QUALCOMM INC
Mark Manasse,DIGITAL EQUIPMENT
Mark Markwell,QUALCOMM INC
Mark Mathews,MCI COMMUNICATIONS
Mark Matties,NASA
Mark Maxham,APPLE INC.
Mark Mc Fadden,COMMERCIAL INTERNET EXCHANGE
Mark Meredith,"NOVELL, INC."
Mark Milinkovich,CISCO SYSTEMS INC
Mark Miller,THE ESYS CORPORATION
Mark Minnihan,BRAVIDA CORP
Mark Needleman,DATA RESEARCH ASSOCIATES
Mark Neibert,INTELSAT
Mark Oliver,SCIENTECH
Mark Painter,"NOVELL, INC."
Mark Paterson,ORACLE
Mark Patton,TELLABS
Mark Pflueger,MICHAELI GYMNASIUM
Mark Phalan,"SUN MICROSYSTEMS, INC."
Mark Pietras,ARAVOX TECHNOLOGIES
Mark Poepping,CARNEGIE MELLON UNIVERSITY
Mark Prior,JUNIPER NETWORKS
Mark Pustilnik,MICROSOFT
Mark Regan,CISCO SYSTEMS INC
Mark Rinaldi,IBM
Mark Russell,UNIVERSITY OF KENT
Mark Rutan,MULTIMEDIA ACCESS CORPORATION
Mark Santcroos,RIPE NCC
Mark Schertler,VOLTAGE SECURITY
Mark Schlefier,DIGEX
Mark Schneider,U.S. DEPARTMENT OF DEFENSE
Mark Shelor,"MEGISTO SYSTEMS, INC"
Mark Shepard,NETMANAGE INC.
Mark Shmulevsky,ADP DEALER SERVICES
Mark Sumner,MOTOROLA MOBILITY
Mark Swanson,NETWORK GENERAL CORPORATION
Mark Swartwout,DIGITAL EQUIPMENT
Mark Sweeney,LUCENT TECHNOLOGIES
Mark Taylor,TELEDESIC
Mark Ting,BAY NETWORKS
Mark Towfiq,"SUN MICROSYSTEMS, INC."
Mark Trayer,"SAMSUNG ELECTRONICS CO, LTD"
Mark Tyrrell,CARNEGIE MELLON UNIVERSITY
Mark Vickers,FRED HUTCHINSON CANCER RESEARCH CENTER
Mark Vigder,NATIONAL RESEARCH COUNCIL
Mark Vondemkamp,SEMAPHORE COMMUNICATIONS CORPORATION
Mark Wahl,"SUN MICROSYSTEMS, INC."
Mark Weissman,LUCENT TECHNOLOGIES
Mark Welch,NETSCAPE COMMUNICATIONS
Mark West,SIEMENS AG
Mark Whalley,AGILENT TECHNOLOGIES INC
Mark Williams,JUNIPER NETWORKS
Mark Wittle,NETWORK APPLIANCE
Mark Zimmerman,ICSA INC.
Markku Ala-Vannesluoma,NOKIA
Marko Halme,NOKIA
Marko Kaittola,FUNET
Marko Kulmala,TELLABS
Marko Lohjala,NOKIA
Marko Perttila,SONERA CORPORATION
Marko Perttilae,SONERA CORPORATION
Marko Suoknuuti,NOKIA
Markus Hauenstein,NOKIA
Markus Hofmann,LUCENT TECHNOLOGIES
Markus Lautenbacher,SIEMENS AG
Marsha Perrott,INFORMATION RENAISSANCE
Marshall Rose,"DOVER BEACH CONSULTING, INC."
Marta Mostovych,VISUAL NETWORKS
Marta Vohnoutova,SIEMENS AG
Marten Den Haring,ORACLE
Marten Terpstra,BAY NETWORKS
Martha Steenstrup,BBN CORPORATION
Martha Zimet,NOKIA
Martial Monfort,EDF SA
Martin Andersson,TELIA AB
Martin Aylett,BRITISH TELECOMMUNICATIONS PLC
Martin Bak,VITESSE SEMICONDUCTOR INC
Martin Bohaemper,SIEMENS AG
Martin Calsyn,MICROSOFT
Martin Dunmore,LANCASTER UNIVERSITY
Martin Durst,KEIO UNIVERSITY
Martin Fredriksson,CARLSTEDT RESEARCH TECHNOLOGY
Martin German,UNIVERSIDAD DE LA REPUBLICA ORIENTAL DEL URUGUAY
Martin Goetzer,MARCONI COMMUNICATIONS
Martin Hack,"SUN MICROSYSTEMS, INC."
Martin Haeberli,APPLE INC.
Martin Halstead,NEXAGENT LTD
Martin Hamilton,"UNIVERSITY OF TECHNOLOGY, LOUGHBOROUGH"
Martin Harris,GETTY ART HISTORY INFORMATION PROGRAM
Martin Heusse,LIG
Martin Jung,DLR - GERMAN AEROSPACE CENTER
Martin Lucas,INTERNET MULTICASTING SERVICE
Martin Maier,TECHNICAL UNIVERSITY MUNICH
Martin May,ACTIVIA NETWORKS
Martin Mcnealis,CISCO SYSTEMS INC
Martin Messmer,DEUTSCHE TELEKOM AG
Martin Ostrowski,HEWLETT-PACKARD COMPANY
Martin Patterson,"SUN MICROSYSTEMS, INC."
Martin Peck,TELEBIT
Martin Proulx,INDUSTRY CANADA
Martin Recke,WISSENSCHAFTSZENTRUM BERLIN
Martin Rex,SAP AG
Martin Sarnberger,UPNET AB
Martin Schlachta,UNIVERSITY OF DORTMUND
Martin Schoffstall,"PERFORMANCE SYSTEMS INTERNATIONAL, INC."
Martin Schulman,CISCO SYSTEMS INC
Martin Seiler,COMPUTERWOCHE
Martin Silvero,IPLAN TELECOMUNICACIONES
Martin Skorupski,HIGHSTREET-TECHNOLOGIES GMBH
Martin Storch,NOKIA SIEMENS NETWORKS
Martin Tatham,BRITISH TELECOMMUNICATIONS PLC
Martin Taylor,INTERNAP
Martin Van Der Zee,ERICSSON AB
Martin Weil,MARCONI COMMUNICATIONS
Martin Wennberg,ERICSSON AB
Martina-Angela Sasse,UNIVERSITY COLLEGE LONDON
Martino Fornasa,DEI - UNIVERSITY OF PADOVA
Martti Kuparinen,ERICSSON AB
Martti Tuulos,NOKIA
Marty Borden,ATRICA
Marty Cohen,NORTEL NETWORKS LIMITED
Marty Del Vecchio,SHIVA CORPORATION
Marty Williams,CISCO SYSTEMS INC
Martyn Hampson,IMPERIAL COLLEGE
Maruan Barakat,U.S. DEPARTMENT OF DEFENSE
Marvin Li,HEWLETT-PACKARD COMPANY
Marvin Wahlstrom,UNIVERSITY OF TORONTO
Mary Case,SNMP RESEARCH INC.
Mary Chamlee,GEORGIA INSTITUTE OF TECHNOLOGY
Mary Ellen Zurko,IRIS ASSOCIATES
Mary Jo Zukoski,"MITRE CORPORATION, THE"
Mary Kao,NETWORK SOLUTIONS INC.
Mary Quinn,FTP SOFTWARE
Mary Rundle,HARVARD BERKMAN CENTER
Maryann Hondo,IBM
Maryann Maher,UNIVERSITY OF SOUTHERN CALIFORNIA
Marybeth Howe,"MITRE CORPORATION, THE"
Maryse Gardella,NOKIA
Masaaki Kageyama,"VICTOR COMPANY OF JAPAN, LIMITED"
Masaaki Nabeshima,NTT
Masaaki Noro,TAO
Masaaki Takiuchi,FUJITSU LIMITED
Masafumi Higuchi,NTT
Masafumi Kajiwara,POWEREDCOM INC
Masafumi Minami,SONY CORPORATION
Masafumi Shimizu,NTT
Masahide Noda,FUJITSU LIMITED
Masahiko Fujinaga,KDDI CORPORATION
Masahiko Kosaka,FASTNET INC
Masahiko Murakami,FUJITSU LIMITED
Masahiko Sato,NIHON UNIVERSITY
Masahiko Tsushima,IBM
Masahiro Goshima,NTT
Masahiro Inoue,NTT
Masahiro Ishiyama,TOSHIBA
Masahiro Iwadare,NEC CORPORATION
Masahiro Jibiki,NEC CORPORATION
Masahiro Kashiwagi,CHIBA JUNIOR COLLEGE
Masahiro Kuroda,COMMUNICATIONS RESEARCH LABORATORY
Masahiro Ojima,HITACHI LTD
Masahiro Saito,KYOCERA
Masahiro Serizawa,NEC CORPORATION
Masahiro Takagi,TOSHIBA
Masahisa Kawashima,NTT
Masahito Endo,YOKOGAWA ELECTRIC CORPORATION
Masakatsu Komiya,NISSHO ELECTRONICS CORP
Masakatsu Shibamoto,WISHNET
Masakatsu Yanagisawa,NEC CORPORATION
Masakazu Ishii,NTT
Masaki Hirabaru,NICT - NATIONAL INSTITUTE FOR INFORMATION AND COMMUNICATIONS TECHNOLOGY
Masaki Ishiguro,MITSUBISHI CORPORATION
Masaki Minami,KEIO UNIVERSITY
Masaki Nakayama,HITACHI LTD
Masaki Yamaoka,NTT
Masamichi Seki,NTT
Masanobu Morinaga,FUJITSU LIMITED
Masanobu Tsukuda,NTT
Masanori Goto,OKI ELECTRIC INDUSTRY CO LTD
Masanori Takashima,NEC CORPORATION
Masao Akata,MOTOROLA MOBILITY
Masao Akimoto,PANASONIC CORPORATION
Masao Ikezaka,PANASONIC CORPORATION
Masao Murota,TOSHIBA
Masao Ohmoto,PANASONIC CORPORATION
Masaru Mukai,POWEREDCOM INC
Masashi Morioka,NTT
Masashi Osumi,YOKOHAMA NATIONAL UNIVERSITY
Masashi Sato,SECOM
Masashi Yoshizumi,NTT
Masataka Goto,TOSHIBA
Masataka Ishibashi,JPCERTCC
Masataka Nagura,NEC CORPORATION
Masataka Suzuki,YOKOHAMA NATIONAL UNIVERSITY
Masato Ando,POWEREDCOM INC
Masato Goto,NIIGATA UNIVERSITY
Masato Hata,NTT
Masato Kurosaki,XEROX CORPORATION
Masato Ohura,PANASONIC CORPORATION
Masato Okuda,STANFORD UNIVERSITY
Masatoshi Takihiro,HITACHI LTD
Masatsune Wake,FUJITSU LIMITED
Masaya Arai,HITACHI LTD
Masaya Nakayama,UNIVERSITY OF TOKYO
Masaya Yamagata,NEC CORPORATION
Masayoshi Fukazawa,NOMURA RESEARCH INSTITUTE
Masayoshi Imaike,KEIO UNIVERSITY
Masayoshi Umeda,NTT
Masayuki Fujiwara,NEC CORPORATION
Masayuki Kato,MITSUBISHI CORPORATION
Masayuki Kumazawa,PANASONIC CORPORATION
Masayuki Matsuzaki,NEC CORPORATION
Masayuki Onishi,CISCO SYSTEMS INC
Masayuki Terada,NTT
Massimiliano Lenardi,HITACHI LTD
Massimiliano Tornar,MARCONI COMMUNICATIONS
Massimillano Tornar,MARCONI COMMUNICATIONS
Massimo Actis Dato,DIGITAL EQUIPMENT
Massimo Lucchina,CISCO SYSTEMS INC
Masugi Inoue,COMMUNICATIONS RESEARCH LABORATORY
Masuma Ahmed,LOCKHEED MARTIN CORPORATION
Masumi Fujiwara,NTT
Matej Dioszegi,"CZ.NIC, Z.S.P.O."
Mateusz Rzecki,CCNS S.A.
Mateusz Waldman,ADVA OPTICAL NETWORKING
Matheus Pfitscher,FEDERAL UNIVERSITY OF RIO GRANDE DO SUL
Mathew Richardson,NEXTHOP TECHNOLOGIES
Mathias Engan,LULEA UNIVERSITY OF TECHNOLOGY
Mathias Koerber,SINGAPORE TELECOM
Mathias Kokot,SIEMENS AG
Mathias Rautenberg,SIEMENS AG
Mathieu Goessens,ENST BRETAGNE
Mathieu Tallegas,PACKET ENGINES
Matia Mbuga,MAKERERE UNIVERSITY
Matias Comba,TELVGG
Matias Magmusson,TELENORDIA AB
Matias Magnusson,TELENORDIA AB
Matias Risler,IG NETWORKS
Matjaz Vrecko,MG-SOFT
Mats Jansson,LINK
Mats Jorsmo,ERICSSON AB
Mats Melander,ERICSSON AB
Mats Naslund,ERICSSON AB
Mats Nilsson,ERICSSON AB
Mats Wennerstrom,UNISOURCE
Matsuhira Naoki,FUJITSU LIMITED
Matsutoshi Murata,PANASONIC CORPORATION
Matt Burdick,HEWLETT-PACKARD COMPANY
Matt Cannon,WORLDCOM
Matt Crawford,FERMILAB
Matt Falkner,CISCO SYSTEMS INC
Matt Gleeson,MISSISSIPPI STATE UNIVERSITY
Matt Lukens,WATCH HILL RESEARCH CORPORATION
Matt Mckennon,ICANN
Matt Muggeridge,DIGITAL EQUIPMENT
Matt Read,"HUGHES NETWORK SYSTEMS, LLC"
Matt Squire,HATTERAS NETWORKS
Matt Thomas,ALLEGRO NETWORKS
Matteo Gatta,NEC CORPORATION
Matthew Beal,WILLIAMS CRITICAL TECHNOLOGIES
Matthew Brannigan,BBN CORPORATION
Matthew Burbridge,HEWLETT-PACKARD COMPANY
Matthew Cheng,TELCORDIA TECHNOLOGIES
Matthew Cimbala,TOLLGRADE COMMUNICATIONS
Matthew Condell,BBN CORPORATION
Matthew Finlayson,DATA CONNECTION
Matthew Fredette,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
Matthew Halsey,INTELSAT
Matthew Holway,EPOCH INTERNET
Matthew Hur,MICROSOFT
Matthew Impett,FLARION TECHNOLOGIES
Matthew Jonson,UNITED STATES AIR FORCE
Matthew Kontoff,AVICI SYSTEMS
Matthew Luallen,ARGONNE NATIONAL LABORATORY
Matthew Lucas,UNIVERSITY OF VIRGINIA
Matthew Luckie,UNIVERSITY OF WAIKATO
Matthew Murphy,BANYAN SYSTEMS
Matthew Noah,ADC COMMUNICATIONS
Matthew Noble,RIVERSTONE NETWORKS
Matthew Osman,CABLELABS
Matthew Peterson,VINTELA
Matthew Podolsky,UNIVERSITY OF CALIFORNIA - BERKELEY
Matthew Robinson,BRITISH TELECOMMUNICATIONS PLC
Matthew Romaine,SONY CORPORATION
Matthew Schmitz,CISCO SYSTEMS INC
Matthew Sirawsky,COMCAST
Matthew Stafford,CINGULAR WIRELESS
Matthew Wakeley,AGILENT TECHNOLOGIES INC
Matthew White,ERICSSON AB
Matthew Yuen,NORTEL NETWORKS LIMITED
Matthias Bachfischer,UNIVERSIDAD DE BUENOS AIRES
Matthias Bauer,UNIVERSITY OF ERLANGEN-NUREMBERG
Matthias Frank,UNIVERSITY OF BONN
Matthias Hartmann,UNIVERSITY OF WUERZBURG
Matthias Holmquist,ERICSSON AB
Matthias Wichtlhuber,TU DARMSTADT
Matti Aarnio,SONERA CORPORATION
Matti Hietajaervi,NOKIA
Matti Huvila,ABO AKADEMI UNIVERSITY
Matti Rendahl,COMEDIA INFORMATION AB
Matti Ropponen,SONERA CORPORATION
Matti Swan,HELSINKI TELEPHONE COMPANY
Matti Turunen,NOKIA
Mattias Ahlund,ERICSSON AB
Mattias Jansson,KTH - ROYAL INSTITUTE OF TECHNOLOGY
