name,affiliation
Alexander Todd,DIVERSINET CORP
Alexander Tulai,MITEL NETWORKS CORPORATION
Alexander Willner,UNIVERSITY OF BONN
Alexandre Boeglin,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE
Alexandre Dubus,ORANGE SA
Alexandre Grojsgold,NATIONAL RESEARCH NETWORK
Alexandre Nolle,ORANGE SA
Alexis Bor,BOEING
Alexis Guillard,BRITISH TELECOMMUNICATIONS PLC
Alexis Hildebrandt,NETZWERT AG
Alexis Macfarlane,LUCENT TECHNOLOGIES
Alexis Tcach,UNIVERSIDAD DE BUENOS AIRES
Alexis Yushin,NLNET LABS
Alf Hansen,UNINETT
Alf Heidermark,ERICSSON AB
Alfred Aho,LUCENT TECHNOLOGIES
Alfred Ammann,BAY NETWORKS
Alfred Arsenault,BBN CORPORATION
Alfred Grimstad,AVAYA
Alfred Heggestad,WIRE
Alfred Prasad,CONNECT
Alfredo Matos,INSTITUTO DE TELECOMUNICOES - AVEIRO
Ali Bahreman,ENTERPRISE INTEGRATION
Ali Boudani,TECHNICOLOR
Ali Fessi,UNIVERSITY OF TUEBINGEN
Ali Marashi,UNIVERSITY OF WASHINGTON
Ali Rezafard,AFILIAS
Alice Sturgeon,"SPYRUS, INC"
Alicja Celer,NORTEL NETWORKS LIMITED
Alimuddin Mohammad,BOEING
Alisa Hata,UNIVERSITY OF WASHINGTON
Alison De La Cruz,UNIVERSITY OF SOUTHERN CALIFORNIA
Alison Greenwald,CARNEGIE MELLON UNIVERSITY
Alison Macmillan,ORACLE
Alistair Doswald,HEIG-VD
Alistair Riddoch,GOOGLE
Allan Cargille,MCI COMMUNICATIONS
Allan Chong,BELLSOUTH
Allan Kintigh,CISCO SYSTEMS INC
Allan Rubens,NEXTHOP TECHNOLOGIES
Allan Vermeulen,ROGUE WAVE SOFTWARE
Allen Cronce,"CYNO TECHNOLOGIES, INC."
Allen Doepel,BOEING
Allen Hasham,JUNIPER NETWORKS
Allon Bar,RANKING DIGITAL RIGHTS
Allyson Showalter,NASA
Almon Tang,MOTOROLA MOBILITY
Aloke Guha,NETWORK SYSTEMS CORPORATION
Alon Cohen,VOCALTEC COMMUNICATIONS
Alon Kleinman,UBIQUE
Alon Stern,AXERRA
